word,definition
roca,"Agregat mineral natural, de compozitie aproape uniforma, care alcatuieste scoarta Pamantului."
rola,"Corp in forma de cilindru care poate fi rostogolit in jurul axei sale de simetrie, folosit ca organ de rulare sau ca unealta de prelucrare prin apasare."
romb,Paralelogram cu toate laturile egale si cu unghiurile opuse egale.
rosu,"Una dintre culorile fundamentale ale spectrului luminii, situata in marginea acestuia dinspre lungimile de unda mari; culoarea sangelui."
ruda,"Persoana care face parte din aceeasi familie cu alte persoane, unite intre ele prin legaturi de sange sau prin alianta; rudenie."
rupt,Facut bucati.
ruta,Drum urmat de un vehicul; linie strabatuta de o cale de comunicatie intre doua localitati.
seif,"Dulap sau lada de fier in care se pastreaza, de obicei intr-o institutie bancara, bani, hartii si obiecte de valoare; casa de bani."
sant,"Sapatura lunga si ingusta facuta pe ambele parti ale unui drum, pentru scurgerea apei."
sapa,"Unealta agricola pentru sapat si prasit, alcatuita dintr-o lama de otel plana sau putin concava, fixata aproape perpendicular intr-o coada de lemn."
scalp,"Piele a capului uman impreuna cu parul, smulsa de pe craniu in urma unui accident sau desprinsa cu un instrument ascutit."
scor,Raportul dintre punctele inscrise si cele primite la o intrecere sportiva; rezultat reflectat de acest raport.
scund,De statura mica.
scut,"Arma defensiva de metal, de piele etc., de diverse forme si marimi, cu care luptatorii din Antichitate si din Evul Mediu isi aparau pieptul de lovituri."
scuza,"A cere scuze, a-si exprima (in fata cuiva) parerea de rau pentru o greseala facuta; a se dezvinovati, a se justifica."
seaca,"Lipsit de apa; care a secat, s-a uscat."
senil,"Care tine de batranete sau de senilitate care are caracteristicile batranetii ori senilitatii; caracteristic batranilor, de batran."
sens,"Inteles (al unui cuvant, al unei expresii, al unei forme sau al unei constructii gramaticale)."
secta,"Comunitate religioasa desprinsa dintr-o religie mare (crestinism, islam, budism etc.), in vederea practicarii unui cult independent, bazat pe o doctrina proprie."
seva,"Suc nutritiv incarcat cu saruri minerale, care circula in vasele plantelor si le hraneste."
sfat,"Vorbe, argumente spuse cuiva pentru a-l convinge sa procedeze intr-un anumit fel, intr-o imprejurare data."
salam,"Produs alimentar cu durata mare de conservare, asemanator carnatului, preparat din carne tocata si condimentata de vita sau de porc, de obicei afumata si uscata."
sirop,"Solutie densa, obtinuta din zahar si apa sau din suc de fructe ori de plante, folosita ca bautura racoritoare (in amestec cu sifon)."
snob,(Persoana) care admira si adopta fara discernamant si cu orice pret tot ce este la moda.
snur,"Sfoara (imbracata in matase colorata, in fir etc.), de obicei rasucita in doua sau in trei, folosita mai ales ca ornament la imbracaminte."
soba,"Instalatie pentru incalzit (cu lemne, carbuni, gaze etc.) incaperile de locuit sau pentru gatit, construita din caramida, din teracota, din fier sau din fonta."
soim,"Nume dat mai multor pasari rapitoare de zi, de marime variata, agere si puternice, cu ciocul scurt si curbat si avand cate o crestatura in forma de dinte, care se hranesc cu prada vie."
solz,"Fiecare dintre placile mici, dure si lucioase, de natura tegumentara, care, suprapunandu-se partial, acopera corpul celor mai multi pesti, al celor mai multe reptile."
somn,"Peste teleosteean rapitor cu corpul lung, fara solzi, latit in partea dinainte, cu capul turtit, cu gura armata de dinti puternici si cu mustati lungi."
sora,Persoana de sex feminin considerata in raport cu copiii acelorasi parinti sau ai aceluiasi tata ori aceleiasi mame.
sotie,Femeie casatorita considerata in raport cu barbatul ei.
spic,"Inflorescenta caracteristica plantelor graminee, alcatuita din mai multe flori mici cu peduncul scurt, dispuse pe o axa centrala lunga."
spin,"Organ in forma de teapa care creste pe tulpina, pe ramurile, pe frunzele, pe fructele etc. unor plante."
spor,"Faptul de a progresa usor, de a avea randament in munca."
stea,"Corp ceresc cu lumina proprie, format dintr-o masa de gaze aflata la o temperatura foarte ridicata."
stern,"Os lung si plat asezat in mijlocul partii anterioare a toracelui, de care sunt prinse coastele si cele doua clavicule."
stol,Grup (mare) de pasari zburatoare de acelasi fel.
strop,Particula globulara dintr-un lichid; cantitate foarte mica dintr-un lichid.
stuf,"Planta erbacee perena din familia gramineelor, cu tulpina inalta si dreapta, cu frunzele lanceolate si cu florile violete sau galbui, dispuse in panicule terminale."
stup,"Adapost natural sau special confectionat pentru albine, unde acestea traiesc in familii, formeaza fagurii si depun mierea."
sulf,"Metaloid de culoare galbuie, cu miros neplacut, foarte activ din punct de vedere chimic, care se gaseste in stare pura, in special in regiunile vulcanice."
suma,"Rezultatul operatiei de adunare a unor numere, a unor cantitati sau a unor lucruri de acelasi fel."
suna,"A scoate, a produce, a emite anumite sunete."
supa,"Fiertura de carne, de legume sau de carne cu legume, uneori cu adaos de taitei, fidea."
surd,"Care nu aude (bine), lipsit (total sau partial) de auz."
talc,Inteles
tare,"Care are o consistenta solida, care opune rezistenta la apasare si nu poate fi usor patruns, strabatut, desfacut, despicat."
targ,"Spatiu mai intins si special amenajat intr-un oras sau la marginea unui oras, unde se vand si se cumpara (zilnic sau la anumite date) vite, cereale, alimente, zarzavaturi"
tarm,Fasie de pamant de-a lungul unei ape mari.
taur,"Mascul necastrat din specia taurinelor, cu capul mare, pielea groasa, parul de pe frunte lung si adesea cret."
tava,"Obiect plat de metal/material plastic/lemn, avand forme si dimensiuni diferite, pe care se aduc la masa cele necesare pentru servit."
taxa,Suma de bani care se percepe la anumite marfuri sub forma de impozit.
taxi,"Automobil cu sofer, care se inchiriaza pentru o cursa sau pentru un anumit interval de timp."
terci,Mancare gatita din malai fiert in apa; mamaliga foarte moale.
tema,"Exercitiu scris dat scolarilor, studentilor etc. pentru aplicarea cunostintelor dobandite."
test,"Experiment, experimentare, proba, incercare."
text,"Ceea ce este exprimat in scris; cuprinsul unei opere literare sau stiintifice, al unui discurs, al unei legi etc."
teza,"Lucrare scrisa, facuta de elevi in clasa sub supravegherea profesorului, la sfarsitul unei perioade de studiu sau la un examen."
tija,Tulpina aeriana a plantelor erbacee.
tiza,"Persoana care poarta acelasi nume cu alta, considerata in raport cu aceasta."
toba,"Instrument muzical de percutie, format dintr-un cilindru scurt, larg si gol, de lemn sau de metal, pe fundurile caruia este intinsa cate o membrana de piele, care, lovita (cu doua baghete), produce sunete."
tona,"Unitate de masura a masei, egala cu 1000 de kg."
topit,Devenit lichid sau moale sub efectul caldurii.
tort,"Prajitura facuta din mai multe straturi de aluat, avand intre ele straturi de crema, acoperita cu o glazura sau crema."
trac,Stare emotiva de care sunt cuprinse unele persoane (mai ales artistii) in momentul aparitiei lor in fata publicului.
trei,Numar (constand din trei unitati) care are in numaratoare locul intre doi si patru si care se indica prin cifra 3 sau III.
tren,Convoi de vagoane de cale ferata legate intre ele si puse in miscare de o locomotiva.
trib,"Forma de organizare, constand dintr-o grupare de persoane, care au limba si credinte comune, locuiesc acelasi teritoriu si se supun autoritatii unui sef ales."
trio,Grup de trei persoane (care se afla mereu impreuna).
troc,"Schimb in natura, fara mijlocirea banilor, constituind forma cea mai simpla a comertului."
tron,"Scaun, jet (sculptat si impodobit) pe care stau monarhii la ceremonii."
truc,"Mecanism, procedeu scenic menit a crea o iluzie."
trup,Corp (al unei fiinte).
trupa,Totalitatea militarilor care isi fac serviciul militar.
trufa,"Nume dat mai multor specii de ciuperci comestibile de culoare violeta-negricioasa, in forma de cartofi, care cresc in pamant."
tuns,"Despre par, barba, mustata, lana, iarba etc.: retezat, scurtat, taiat."
tura,"Piesa, in forma de turn, la jocul de sah, care se deplaseaza numai in linie dreapta; turn."
turn,"Constructie prismatica sau cilindrica, cladita separat sau facand parte dintr-un complex arhitectural, fiind de obicei mai inalta decat celelalte constructii."
tus,"Cerneala speciala (mai ales neagra), rezistenta la apa, folosita la anumite desene, la aplicarea stampilelor, in poligrafie."
ulei,"Lichid gras de provenienta vegetala, animala, minerala sau sintetica, insolubil in apa si mai usor decat ea, folosit in alimentatie, in industrie."
uluca,"Scandura groasa intrebuintata in constructii, mai ales la construirea gardurilor si a imprejmuirilor."
umar,Parte a corpului omenesc corespunzatoare articulatiei dintre mana si trunchi.
umed,Care a stat intr-un lichid sau a fost acoperit sau stropit cu un lichid si nu s-a uscat inca.
umil,"Care are o atitudine modesta, de om simplu, sarac, fara pretentii; care are o atitudine supusa, ascultatoare, smerita."
umor,"Inclinare spre glume si ironii, ascunse sub o aparenta de seriozitate; manifestare prin vorbe sau prin scris a acestei inclinatii."
unic,"Care este unul singur, numai unul in genul, de felul sau."
urat,"Care are o infatisare neplacuta, care este lipsit de frumusete, de armonie."
urca,A (se) deplasa dintr-un loc situat mai jos catre unul situat mai sus; a (se) sui.
uree,"Substanta organica incolora, cristalizata, care se gaseste in urina si in sange, fiind folosita ca ingrasamant agricol sau la fabricarea unor mase plastice, a unor medicamente etc."
usor,"Care are greutate mica, care cantareste putin, care exercita o presiune redusa asupra suprafetei pe care sta."
util,Care poate servi la ceva.
uzat,Tocit (prin folosire indelungata).
vaca,"Animal domestic din specia bovinelor, femela taurulu"
vale,"Forma negativa de relief, formata prin actiunea unei ape curgatoare sau a unui ghetar."
vals,"Dans in masura de trei timpi, cu miscari relativ vioaie, care se danseaza in perechi; melodie dupa care se executa acest dans."
vant,Deplasare pe orizontala a unei mase de aer provocata de diferenta de presiune existenta intre doua regiuni ale atmosferei.
vasc,"Planta semiparazita care creste pe ramurile unor copaci, cu frunzele pieloase, totdeauna verzi, cu tulpina ramificata si cu fructul in forma unor bobite albe sau galbui, folosita ca planta medicinala."
vast,"Care este foarte intins, care se intinde pana departe; de mari dimensiuni, de mari proportii."
vata,"Material format din fibre elastice de bumbac scurte si subtiri care se intrepatrund si formeaza o masa compacta alba, folosit pentru pansamente, in diferite procese tehnice etc."
vaiet,"Geamat de durere, de jale, de suferinta."
vaza,Vas de flori.
veac,Interval de timp de o suta de ani (socotit de obicei de la unitate pana la completarea unei sute).
viza,"A aplica o viza pe un act oficial, pentru a-i da valabilitate."
vioi,"Care este plin de viata, de vigoare; iute in miscari."
viol,Infractiune care consta in fapta unei persoane de a avea raport sexual cu alta persoana prin constrangerea acesteia sau profitand de imposibilitatea ei de a se apara sau a-si exprima vointa.
voal,"Tesatura fina (transparenta) de matase, bumbac sau fibre sintetice, folosita pentru perdele, rochii, bluze etc.; bucata de tesatura fina, rara, cu care femeile isi acopera capul sau fata."
voce,Facultate specifica omului de a emite sunete articulate; ansamblul sunetelor produse de vibrarea coardelor vocale umane.
volei,"Joc sportiv practicat pe un teren dreptunghiular de doua echipe adverse compuse din cate sase jucatori, care arunca o minge speciala peste o plasa intinsa sus, in mijlocul terenului."
vrac,"Mod de depozitare si de transport in gramezi neordonate si fara ambalaj al unor materiale sub forma de pulbere, granule sau bucati."
vrej,Tulpina a unor plante agatatoare sau taratoare.
zala,Fiecare dintre ochiurile unui lant.
zapada,"Precipitatie atmosferica solida, sub forma de fulgi albi, alcatuiti din cristale de apa inghetata; strat provenit din aglomerarea acestor fulgi, cand temperatura solului este sub 0 grade C."
zbor,"Mod de planare si de miscare in aer a unei pasari, a unei insecte, a unui obiect etc. cu ajutorul aripilor."
zdup,Institutie in care isi ispasesc pedeapsa cei condamnati la privarea de libertate.
zero,"Numar care, in numaratoare, se afla inainte de unu, reprezinta o cantitate vida si care se indica prin cifra 0."
ziar,"Publicatie periodica, de obicei cotidiana, in care se tiparesc stiri, informatii politice, sociale, culturale etc. de actualitate."
zinc,"Element chimic, metal de culoare alba-albastruie, folosit in industrie atat singur, cat si sub forma de aliaje, la acoperirea otelului pentru a-i mari rezistenta la coroziune."
ziua,Interval de timp cuprins intre rasaritul si apusul Soarelui.
zmeu,"Jucarie facuta din hartie, panza, fixat pe un schelet usor de lemn, care se ridica in bataia vantului si care este manuita de pe pamant cu ajutorul unei sfori lungi."
zvon,"Stire, veste (care circula din om in om)."
