word,definition
cota,"A insemna, a marca, a numerota potrivit unei anumite ordini."
crab,"Nume dat mai multor specii de animale crustacee marine, cu zece picioare, cu abdomenul scurt si indoit sub cefalotoracele mare si turtit."
caras,"Peste de balta din familia crapilor, de culoare argintie sau galbuie, cu capul scurt si cu solzii mari."
crap,"Peste de apa dulce din familia ciprinidelor, cu solzii mari, argintii-ruginii, cu buza groasa si cu doua perechi de mustati pe falca superioara."
cret,"(Despre par, blana, lana etc.) Rasucit in inele."
crin,"Planta erbacee ornamentala din familia liliaceelor, cu flori albe stralucitoare, in forma de palnie si cu miros foarte puternic."
crud,"(Despre alimente) Care n-a fost (suficient) supus actiunii focului; nefiert, nefript, necopt (suficient)."
cuib,"Constructie facuta de pasari, de unele mamifere etc. pentru a depune ouale, a cloci si a scoate pui."
cuie,"Piesa de metal sau de lemn, formata dintr-o tija cu varf ascutit si cu un capat numit floare, cu care se fixeaza intre ele diferite piese, care se bate in zid sau in lemn pentru a servi ca suport."
cula,"Locuinta boiereasca fortificata, cu mai multe caturi, raspandita in secolul XVIII in Oltenia."
culme,"Partea cea mai de sus, prelungita orizontal si usor inclinata, a unui munte sau a unui deal."
cult,"(Despre manifestari ale oamenilor) De care da dovada omul cult; care are caracter savant, carturaresc."
curba,"A (se) face curb, a (se) incovoia, a (se) indoi, a (se) arcui."
cusur,"Defect, hiba, imperfectiune, meteahna, neajuns."
cuta,"A increti, a indoi (adanc) un material textil, a-i face falduri, cute, creturi."
dadaca,Femeie angajata pentru cresterea si ingrijirea copiilor mici.
dama,"Cocota, cucoana, doamna, madama."
damb,Forma de relief mai mica decat dealul.
damf,Abur.
dans,"Ansamblu de miscari ritmate, variate ale corpului omenesc, executate in ritmul unei melodii, de diferite tipuri."
data,Timpul precis (exprimat in termeni calendaristici) cand s-a produs sau urmeaza sa se produca un eveniment.
deal,Forma de relief pozitiva cu inaltime nu prea mare (sub 1000 m).
demn,Care impune respect.
dens,"(Despre corpuri, substante, solutii) Cu densitate mare; cu partile componente strans unite."
diez,"Semn muzical conventional pus inaintea unei note sau la inceputul portativului, care arata ca nota respectiva trebuie executata cu un semiton mai sus."
disc,"Placa circulara si plata de o anumita greutate, pe care o arunca atletii discoboli la distanta; are 2 kg pentru barbati si 1 kg pentru femei."
diva,Cantareata sau artista celebra de teatru ori de cinema.
doza,"Cantitate determinata dintr-o substanta, dintr-un material etc. care produce un anumit efect sau care formeaza impreuna cu altele un amestec, un tot."
drob,"Bucata, bulgare mai mare de sare."
drog,"Substanta de origine vegetala, animala sau minerala care se intrebuinteaza la prepararea unor medicamente si ca stupefiant."
drum,"Cale de comunicatie terestra, alcatuita dintr-o banda ingusta si continua de teren batatorit, pietruit, pavat sau asfaltat."
dual,Numar gramatical care indica in unele limbi doua obiecte ori fiinte alcatuind de obicei o pereche.
duba,"Luntre mica de pescuit (in lacuri), construita dintr-un trunchi de copac scobit."
duda,Fructul dudului.
duel,"Lupta care se desfasoara (dupa un anumit cod) intre doua persoane inarmate, in prezenta unor martori si care are drept scop transarea unui diferend personal."
duma,"Denumire a adunarilor sau consiliilor boierilor (secolul X, inceputul secolului XVIII)."
ecou,Unda reflectata de un obstacol si receptata de un observator.
edem,Acumulare excesiva de lichid seros in spatiile intercelulare ale organelor si tesuturilor.
eden,"In Biblie: cer, paradis, rai."
egal,"Care este la fel cu altul intr-o anumita privinta; (despre cetateni, natiuni etc.) care au aceleasi drepturi si aceleasi indatoriri."
elan,"Animal rumegator nordic din familia cervidelor, cu coarne mari, ramificate si latite in forma de lopeti."
elen,"Care apartine Greciei antice sau populatiei ei, privitor la Grecia antica sau la populatia ei."
elev,Persoana care invata intr-o scoala sau care este instruita de cineva.
erou,"Persoana care se distinge prin vitejie si prin curaj exceptional in razboaie, prin abnegatie deosebita in alte imprejurari grele ori in munca."
esec,"Infrangere, insucces, neizbanda, nereusita intr-o actiune."
eseu,"Studiu de proportii restranse asupra unor teme filozofice, literare sau stiintifice, compus cu mijloace originale, fara pretentia de a epuiza problema."
etaj,"Fiecare dintre partile unei cladiri de deasupra parterului, cuprinzand incaperile situate pe acelasi plan orizontal."
etic,"Privitor la etica, de etica, bazat pe etica, conform cu etica."
euro,"Moneda unica europeana incepand cu anul 2002, care a inlocuit monedele nationale din 12 tari ale Uniunii Europene"
exil,"Pedeapsa, indeosebi cu caracter politic, constand in obligarea unei persoane de a parasi tara al carei cetatean este."
fals,"Care este contrar adevarului; care are numai aparenta adevarului, autenticitatii."
fapt,"Intamplare sau imprejurare reala, lucru petrecut in realitate."
fard,"Produs cosmetic alb, rosu, verde, albastru etc. pentru colorat tenul, ochii si buzele; dres."
fata,"Persoana de sex feminin, nemaritata."
ferm,"Plin de siguranta si de hotarare; (despre manifestari ale oamenilor) care denota siguranta, hotarare."
fesa,"Fiecare dintre cele doua parti posterioare, carnoase, ale corpului omenesc ori al unor animale."
fier,"Element chimic, metal greu, de culoare cenusie, maleabil, ductil, cu proprietati feromagnetice, care, aliat cu carbonul sau cu alte elemente, se foloseste pe scara larga in industrie."
film,Gen de arta constand din realizarea si proiectarea pe un ecran cinematografic a unui film; creatie cinematografica.
fin,De (cea mai) buna calitate (in ceea ce priveste materialul si executia).
fior,Senzatie (usoara) de frig (insotita de tremur).
fler,Simt de orientare rapida intr-o imprejurare sau intr-o situatie dificila.
flux,"Circulatie continua si uniforma a unui lichid (sange, seva)."
foca,"Nume dat mai multor genuri de mamifere acvatice, carnivore, cu capul rotund, cu corpul alungit si cu picioarele in forma de lopeti, care traiesc mai ales in regiunile polare."
fond,In corelatie cu forma: continut.
fort,"Lucrare de fortificatie construita din zidarie, cu contur poligonal, care face parte dintr-un sistem de intarituri si care este menita sa apere un centru important sau o linie strategica."
frac,"Haina barbateasca de ceremonie din stofa neagra, in fata scurta pana la talie, iar in spate terminata cu doua cozi lungi si inguste."
frag,"Mica planta erbacee din familia rozaceelor, cu tulpina scurta, cu frunze distribuite in rozeta, cu flori albe si cu fructe mici, conice, rosii sau albicioase, comestibile."
frig,"Temperatura scazuta a mediului ambiant, care da senzatia de rece."
fulg,"Pana subtire, de marime mijlocie, pe jumatate moale si matasoasa, care creste pe pantecele pasarilor si printre penele mai mari."
fund,"Partea de jos a unui vas, formand baza lui; cantitate de materii, lichide etc. ramasa pe aceasta parte a vasului."
fusta,"Obiect de imbracaminte femeiasca, care acopera corpul de la talie in jos."
gafa,"Gest, atitudine sau vorba nepotrivita, care poate constitui o indelicatete sau o jignire neintentionata adusa cuiva."
gang,"Loc de trecere aflat sub o constructie, sub boltitura unei case."
gara,"Ansamblu de constructii, instalatii, amenajari etc. situat pe o linie ferata, unde opresc trenurile pentru urcarea si coborarea calatorilor si pentru incarcarea si descarcarea marfurilor."
gard,"Constructie de lemn, de metal, de zidarie etc. care imprejmuieste o curte, un teren, o gradina."
gaza,Nume generic dat insectelor mici zburatoare.
geam,Placa de sticla care se fixeaza in pervazurile (ori cercevelele) ferestrelor sau ale usilor si care permite luminii sa strabata in interiorul unei incaperi.
geaca,Jacheta scurta pana in talie.
geana,Fiecare dintre firisoarele de par de pe marginea unei pleoape.
ghem,"Obiect de forma (relativ) sferica, rezultat prin depanarea unor fire (de ata, de lana etc.)."
ghid,"Persoana care conduce si indruma un grup de turisti, un grup de vizitatori ai unei expozitii etc., dandu-le explicatiile necesare."
glas,Ansamblul sunetelor produse de vibrarea coardelor vocale umane; facultate specifica omului de a emite sunete articulate.
glob,Corp sferic sau sferoidal.
glod,"Noroi; loc, teren, drum noroios."
gluga,"Obiect de imbracaminte in forma de punga conica (atasat unui palton, unei canadiene etc.), care acopera capul."
gong,"Disc de metal care, lovit cu un ciocanel special, produce un sunet caracteristic, fiind intrebuintat ca instrument muzical sau de chemare, de semnalizare."
