word,definition
bergamota,"Varietate de par cu fructe galbene (de forma rotunda), zemoase si parfumate."
biatomic,(Despre o substanta) A carei molecula este formata din doi atomi.
biela,"Organ de masina in forma de bara articulata, care transforma miscarea rectilinie in miscare de rotatie si invers."
binar,"Compus din doua unitati, din doua elemente; care se divide in cate doua elemente."
binedispus,A face sa se simta sau a se simti bine.
biocombustibil,Combustibil obtinut din materii prime vegetale.
biplan,"(Avion) cu doua randuri de aripi, dispuse una deasupra celeilalte."
birocratie,Putere excesiva a administratiei.
blid,"Vas adanc de lut, de lemn sau de tinichea din bucataria taraneasca."
bordel,Casa in care se practica prostitutia.
budoar,Camera intima a unei femei.
buzdugan,buzdugan
aborigen,Care face parte din populatia originara a unei tari sau a unei regiuni.
abracadabrant,Cu totul neobisnuit.
abraziune,Proces de eroziune a tarmurilor din cauza valurilor marii.
abraziv,Care are proprietatea de a roade prin frecare.
abrevia,"A prescurta (in scris sau in vorbire) un cuvant, un titlu etc.; a nota ceva printr-un simbol, printr-o sigla."
abrog,"A anula o lege, o dispozitie oficiala."
absorbi,"A suge, a inghiti, a incorpora o substanta etc."
absorit,"Captivat, preocupat."
absolutism,Regim politic propriu monarhiei absolute; putere absoluta a unui monarh.
absorbitor,Care absoarbe.
abstinent,"Persoana care isi impune restrictii de la mancare, bautura, satisfacerea unor necesitati fiziologice etc."
abtibild,"Imagine in culori imprimata pe un strat subtire de colodiu, care se aplica pe o suprafata neteda, umezindu-se si dezlipindu-se de pe hartia pe care a fost lipit."
abunda,"A fi, a se gasi din belsug, in mare cantitate."
aburos,Acoperit cu aburi; din care ies aburi; ca aburii.
acacia,Nume dat arborilor sau arbustilor tropicali cultivati pentru industria parfumurilor si pentru extragerea gumei arabice.
academic,Care are caracter pur teoretic.
acaparat,Care a fost luat (spre dauna altora).
accelerat,"Care este iutit, grabit; care are o frecventa mai mare decat cea normala."
accesibil,La care se poate ajunge usor; care este la indemana cuiva; care poate fi usor procurat; care se poate intelege usor.
accidental,"Fortuit, incidental, intamplator."
acciza,Impozit indirect care se percepe in unele tari asupra unor obiecte de consum.
acidofil,Care prefera solurile acide.
aciolat,Care s-a aciuat.
aciuat,"Adapostit, ferit, oplosit, pripasit."
acolit,"Persoana care urmeaza, care ajuta pe cineva; persoana care urmeaza indeaproape ideile cuiva."
acordat,"Pus in acelasi caz, numar, gen sau persoana ca si cuvantul de care este legat printr-un raport de determinare."
acostament,"Fasie laterala din platforma unei sosele, de obicei nepavata, situata la marginea partii carosabile."
acreditat,Imputernicit ca reprezentant diplomatic al unui stat pe langa guvernul unui stat strain.
acrilic,Care este obtinut cu ajutorul derivatilor acidului acrilic.
activist,"Membru al unei organizatii de partid sau de masa, care se consacra (exclusiv) muncii in acea organizatie."
acustic,"Care emite, transmite sau receptioneaza sunete, care apartine acusticii, privitor la acustica."
acut,"Ascutit, puternic, patrunzator."
adaos,Ceea ce se adauga la ceva.
adaptat,Care a suferit un proces de adaptare.
adecvat,Care corespunde cerintelor.
ademenit,Care este atras.
admisibil,Care poate fi admis.
adrenalina,"Hormon produs de glandele suprarenale sau fabricat pe cale sintetica, utilizat ca medicament datorita proprietatilor vasoconstrictoare si stimulatoare ale muschiului cardiac."
adulmec,"A simti sau a descoperi, cu ajutorul mirosului, prezenta unui animal, a omului, a hranei."
adulter,Care a incalcat fidelitatea conjugala.
aerian,"Care se afla in aer, care se intampla, se produce in aer."
aeroclub,Organizatie sportiva in care sunt incadrati membri care practica sau simpatizeaza sporturile aeronautice.
aeronaut,Persoana care conduce un vehicul aerian.
aeronava,Vehicul aerian care se mentine si se deplaseaza in aer.
aeroterma,Aparat electric de incalzire cu aer cald.
afanat,Care este mai putin compact; infoiat.
afectiv,"Care apartine afectivitatii, privitor la sentimente."
afemeiat,"(Barbat) care umbla dupa femei, caruia ii place sa faca curte femeilor."
afirmatie,"Declaratie, sustinere a unei pareri (exprimata cu tarie)."
afluent,Care curge spre ceva.
afrodiziac,(Substanta) care stimuleaza impulsurile sexuale.
afta,"Basicuta plina cu lichid opalescent, care apare pe mucoasa gurii sau a faringelui."
agent,"Reprezentant (oficial) al unei institutii, al unei organizatii, al unui stat etc., care indeplineste anumite insarcinari."
aglomerat,Inghesuit.
agrafa,Nume dat unor obiecte care servesc sa prinda sau sa fixeze ceva.
agreabil,"Distractiv, placut."
agricultor,Persoana care se ocupa cu agricultura.
alama,"Aliaj de cupru si zinc, galben-auriu, maleabil, ductil, usor de prelucrat, cu numeroase si variate intrebuintari in industrie."
alcan,Denumire generica data hidrocarburilor aciclice saturate; hidrocarbura parafinica.
alcoolmetru,Instrument care serveste la masurarea concentratiei de alcool a unei solutii.
aldehida,"Substanta organica obtinuta prin oxidarea moderata a unor alcooli, folosita in industria farmaceutica."
alergie,Mod special de a reactiona al organismului sub actiunea unor microbi sau a unor substante straine introduse pe cai variate.
alfabet,"Totalitatea literelor, asezate intr-o ordine conventionala, reprezentand sunetele de baza ale unei limbi."
algoritm,"Ansamblu de simboluri folosite in matematica si in logica, permitand gasirea in mod mecanic (prin calcul) a unor rezultate."
aliment,Produs in stare naturala sau prelucrat care serveste ca hrana.
alpinist,Persoana care practica alpinismul.
alterat,"Modificat, schimbat, transformat (in rau)."
altoi,"Ramura mica detasata dintr-o planta-mama, folosind la altoire."
aluminiu,"Element chimic, metal usor, ductil si maleabil, de culoare argintie, bun conducator de electricitate."
aluzie,"Cuvant, expresie, fraza prin care se face o referire la o persoana, la o situatie, la o idee, fara a o exprima direct."
amator,"(Persoana) careia ii place ceva, care are predilectie sau pasiune pentru ceva; (persoana) care este dispusa sa cumpere ceva."
ambasador,Reprezentant diplomatic cu rangul cel mai inalt.
ambient,Mediu inconjurator.
amintire,"Imagine pastrata in memorie, lucru amintit."
amurg,Semiintuneric care se lasa dupa apusul Soarelui si tine pana la venirea noptii.
ancora,A fixa o nava sau un corp plutitor de fundul apei cu ajutorul unei ancore.
andiva,"Planta erbacee din ale carei frunze albe, carnoase, comestibile se pregatesc salate; cicoare de gradina."
anemie,Boala determinata de scaderea cantitativa sau calitativa a globulelor rosii si a hemoglobinei din sange.
anestezie,Procedeu medical (realizat prin agenti fizici sau chimici) de diminuare sau de suprimare a sensibilitatii la dureri.
anexat,"A alipi, a alatura, a adauga, a atasa la ceva."
animat,Plin de animatie.
anticariat,Unitate comerciala care achizitioneaza si vinde carti vechi sau obiecte vechi de arta.
anxios,"Nelinistit, incordat, ingrijorat."
apartament,"Grup de incaperi intr-o cladire, care formeaza o unitate si serveste ca locuinta."
aperitiv,Gustare care se ia inainte de masa (pentru a stimula pofta de mancare).
aport,Strigat cu care se indeamna un caine sa aduca vanatul impuscat sau un obiect aruncat.
arac,Par lung care serveste la sustinerea vitei-de-vie si a altor plante agatatoare.
arbore,"Nume generic pentru orice planta cu trunchi inalt si puternic, lemnos si cu mai multe ramuri cu frunze care formeaza o coroana."
argint,"Metal pretios de culoare alba stralucitoare, maleabil si ductil, cu o mare conductibilitate electrica si calorica."
arhitect,Specialist in arhitectura.
arid,Uscat.
aristocrat,Persoana care apartine aristocratiei.
armonios,"Care are armonie, plin de armonie, ale carui parti componente formeaza un tot bine inchegat si echilibrat."
arogant,"Care se poarta cu aroganta; care arata, tradeaza aroganta."
arsenal,Intreprindere sau cladire in care se repara (eventual se si fabrica si se depoziteaza) armament.
asfalt,"Amestec de bitum cu materiale minerale, intrebuintat mai ales la pavarea drumurilor."
asfintit,"Timpul, momentul cand apune Soarele."
asterisc,Semn grafic: *
astronaut,Persoana care calatoreste in spatiul cosmic cu o astronava.
auster,"Aspru, cumpatat, grav, rigid, sever, sobru, spartan."
avantaj,"Folos, profit pe care il obtine cineva in plus (in raport cu altul)."
axila,"Subrat, subsuoara, sumana."
bacterie,"Organism microscopic unicelular, de natura vegetala."
balanta,"A (se) misca cand intr-o parte, cand intr-alta; a (se) legana, a (se) hatana."
balcanic,Din (sau privitor la) Muntii Balcani sau Peninsula Balcanica.
baliza,"Semnal instalat pe apa sau pe uscat pentru a marca zone navigabile, locuri de aterizare, piste de concurs."
baltag,"Topor mic si usor, cu coada lunga de lemn, intrebuintat de ciobani si de sateni ca arma."
balustrada,"Element de constructie folosit pentru a margini o scara, un balcon etc.; mana curenta."
bancomat,Automat bancar care elibereaza numerar pe baza cardului.
barbier,Barbat care are meseria de a rade barba si de a tunde parul.
baron,"Titlu nobiliar in ierarhia feudala, superior cavalerului si inferior vicontelui; persoana care are acest titlu."
bataus,"(Persoana) care cauta motiv sau prilej de bataie, careia ii place sa se bata."
bazaconie,"Lucru bizar, de mirare, de necrezut."
belvedere,"Constructie asezata pe un loc ridicat, de unde se poate privi departe."
beneficiar,Persoana care beneficiaza de ceva.
berbec,Masculul oii.
biberon,"Sticluta prevazuta cu un varf de cauciuc in forma de sfarc, care serveste la alaptarea artificiala a sugarilor."
bibelou,Mic obiect decorativ.
bijuterie,Obiect de podoaba facut din metal nobil (si pietre pretioase).
biologie," Stiinta care studiaza manifestarile vietii din punct de vedere anatomic, fiziologic, zoologic."
bisect,An bisect = an calendaristic de 366 de zile (in care luna februarie are 29 de zile); an bisextil.
bocanc,"Gheata din piele rezistenta, cu talpa groasa."
bondar,Nume dat unor insecte himenoptere mari inrudite cu albina.
butelie,"Recipient cilindric de metal rezistent, in special de otel, folosit pentru pastrarea gazelor comprimate sau lichefiate."
