word,definition
clima,"Totalitatea fenomenelor meteorologice (temperatura, vanturi, precipitatii atmosferice) care caracterizeaza starea multianuala a unui loc."
clovn,Artist comic de circ.
cocos,Fructul cocotierului.
conac,"Casa boiereasca la tara, pe o mosie."
crama,"Cladire la o vie, unde se tescuiesc strugurii, se prepara vinul si se depoziteaza uneltele de lucru."
cruda,"Care n-a fost (suficient) supus actiunii focului; nefiert, nefript, necopt (suficient)."
cubic,"De forma unui cub, privitor la cub."
cufar,Lada cu capac (si cu incuietoare) care se foloseste la pastrarea si la transportarea diverselor obiecte.
cupru,"Element chimic, metal de culoare rosiatica, foarte maleabil, ductil si bun conducator de caldura si de electricitate."
curaj,Tarie de caracter.
curba,In forma de arc.
curca,Femela curcanului.
curte,"Spatiu (imprejmuit) in jurul unei cladiri, al unei gospodarii etc. care tine de aceasta cladire, gospodarie."
dafin,"Mic arbore din sudul Europei, cu frunze persistente lucioase si aromatice si cu fructe ovale."
dauna,"Paguba, vatamare, prejudiciu (material sau moral)."
delta,A patra litera a aflabetului grecesc (in forma de triunghi).
depou,"Cladire in care se adapostesc, se intretin si se repara locomotive, vagoane de tren sau de tramvai."
derma,"Stratul mijlociu al pielii vertebratelor, sub epiderma, continand vase sangvine si limfatice, terminatii nervoase, glande sebacee."
desen,"Reprezentare grafica a unui obiect, a unei figuri, a unui peisaj pe o suprafata plana sau curba, prin linii, puncte, pete, simboluri."
dihor,"Mamifer carnivor de marimea unei pisici, cu corpul lung, cu picioarele scurte si cu blana cafenie, care se apara de dusmani raspandind un miros urat."
dogar,Mestesugar care confectioneaza doage sau vase din doage.
doina,"Specie a liricii populare si a folclorului muzical romanesc, care exprima un sentiment de dor, de jale, de revolta, de dragoste."
drops,"Bomboana cu aspect sticlos, de diferite forme si culori, fabricata din caramel si acoperita cu un strat de zahar cristalizat."
dulap,"Mobila de lemn sau de metal prevazuta cu rafturi, in care se pastreaza rufe, haine, vase, carti."
dulce,Care are gustul caracteristic mierii sau zaharului.
dunga,Linie vizibila pe un fond de alta culoare.
ecler,"Prajitura in forma alungita, umpluta cu crema si acoperita cu glazura de serbet, ciocolata."
ecran,"Suprafata mata, de obicei alba, de panza, de hartie etc., dispusa vertical, pe care se proiecteaza imagini reale produse de aparate de proiectie, folosita in cinematografie, in laboratoare."
egala,A face sa fie sau a fi la fel cu altul intr-o anumita privinta; a face sa devina sau a deveni egal.
elevi,Persoana care invata intr-o scoala sau care este instruita de cineva.
enorm,Foarte mare.
exces,"Abuz, exagerare, surplus."
extaz,"Stare excesiva de insufletire, admiratie profunda."
